"Title","Description","ID","Owner","Created Date","Updated Date","Date","Year","Category","Image"
"HiPCW'21","<p class=""font_8"">My invited paper talks about designing an HPC course focusing on distributed memory parallelism and scalable parallel I/O patterns.</p>","81665659-8178-4f49-8708-9b4c90c9419f","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2022-02-04T19:58:42Z,2022-02-04T19:58:42Z,"Dec 2021",2021-12-15T06:00:00Z,"Paper",
" ISC'25 Poster","<p class=""font_8"">I am co-chairing the poster session at ISC'24. Please consider submitting your work. If you would like to serve as a reviewer, please contact me.</p>","87df124f-94ab-4efb-856e-6e0214b0eb00","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2024-09-27T16:33:19Z,2025-08-21T05:40:12Z,"Sept 2024",2024-09-27T17:00:00Z,"Others",
"🎤 MDC'25","<p class=""font_8"">Invited Talk <strong>@ Monterey Data Conference (Monterey, CA)</strong> — Exciting discussions on <strong>deploying ModelX</strong> into HPC production facilities!</p>","88a439ed-ca5f-4f54-8a71-9fda82036e6d","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2025-08-21T05:23:51Z,2025-08-21T05:43:29Z,"Aug 2025",2025-08-19T17:00:00Z,"Research",
"SC19","<p class=""font_8"">Our paper titled ""Performance Optimality or Reproducibility: That is the Question"" has been accepted in the performance track at SC'19 (acceptance rate: 72/344 = 20%)! Congratulations to Alex for his first SC paper.&nbsp;</p>","90041830-48ea-4d3f-b2bd-94dd8e08a171","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2021-03-26T21:18:23Z,"June 2019",2019-07-01T05:00:00Z,"Paper","wix:image://v1/c8381ce0e7a94ad09ceaada2fc64081d.jpg/c8381ce0e7a94ad09ceaada2fc64081d.jpg#originWidth=1920&originHeight=1276"
"🔬MLForSys@NeurIPS","<p class=""font_8"">Our paper titled ""Attention-Informed Surrogates for Navigating Power-Performance Trade-offs in HPC"" has been accepted at ML For Systems workshop@NeurIPS!&nbsp;</p>","985d5fe0-de6e-4ffa-b29e-46d7605a7c4e","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2025-09-25T19:53:12Z,2025-09-25T19:53:40Z,"Sept 2025",2025-09-25T17:00:00Z,"Paper",
"ISPASS'21","<p class=""font_8"">Our paper on ""comparative Code Structure Analysis using Deep Learning for Performance Prediction"" has been accepted at ISPASS'21.&nbsp;</p>","990ccec5-2417-4174-a70e-bbcb7ea1ea78","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-03-26T21:02:29Z,2021-03-26T21:15:46Z,"March 2021",2021-03-22T05:00:00Z,"Paper",
"🥳 Promotion","<p class=""font_8"">Promoted to Associate Professor! Grateful to my students, collaborators, mentors, and the Almighty.</p>","9b14e199-8bdb-40c5-bf3d-7ba74ca78fd0","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2025-09-01T03:55:54Z,2025-09-01T03:55:54Z,"Sept 2025",2025-08-31T17:00:00Z,"Awards",
"SC'24 BoF","<p class=""font_8"">I will be giving a talk about our research on performance and result reproducibility in the Reproducibility BoF on Tuesday from 5:15-6:45pm in B201 @SC'24.</p>","9f5de3d2-5721-469f-8e55-4c8cf1a27357","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2024-11-19T17:37:26Z,2024-11-19T17:39:22Z,"Nov 2024",2024-11-19T22:15:00Z,,
"Graduation","<p class=""font_8"">Congratulations to Tarek Ramadan for successfully defending his M.Sc. thesis.&nbsp;</p>","9f8321f8-fe7e-4672-92d4-f5775b8afe02","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2022-05-06T18:37:31Z,2022-05-06T18:38:24Z,"May 2022",2022-05-12T05:00:00Z,"Others",
"ICPP vice-chair","<p class=""font_8"">I am the&nbsp;vice-chair of the performance track at ICPP 2019. Make sure to submit your work at the conference.</p>","a19e14cc-5ff9-4cb9-828e-427c035ae36b","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:16:14Z,"Sept 2018",2018-09-11T05:00:00Z,"Service",
